x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.4.12,1996-04-12 00:00:00,AB,1996,4,12,2.1,,0.6,,3.5,,2.3,E,1.6,,0.7,E,0,T,,,,,0,,15.9,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.4.13,1996-04-13 00:00:00,AB,1996,4,13,4.1,,-0.8,,9,,0.2,,0.2,,0,,0,,,,,,0,,13.9,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.4.14,1996-04-14 00:00:00,AB,1996,4,14,6.1,,0.9,,11.3,,0.2,,0.2,,0,,0,,,,,,0,,11.9,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.4.15,1996-04-15 00:00:00,AB,1996,4,15,10.8,,3,,18.6,,0,,0,,0,,0,,,,,,0,,7.2,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.4.16,1996-04-16 00:00:00,AB,1996,4,16,12.3,,4.6,,20,,0,,0,,0,,0,,,,,,0,,5.7,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.4.17,1996-04-17 00:00:00,AB,1996,4,17,7.9,,3.2,,12.5,,0.4,,0.4,,0,,0,,,,,,0,,10.1,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.4.18,1996-04-18 00:00:00,AB,1996,4,18,6.3,,-0.9,,13.4,,0,,0,,0,,0,,,,,,0,,11.7,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.4.19,1996-04-19 00:00:00,AB,1996,4,19,3.2,,0.4,,5.9,,15.8,E,12.4,,3.4,E,0,,,,,,0,,14.8,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.4.20,1996-04-20 00:00:00,AB,1996,4,20,6.4,,0.8,,11.9,,2.7,E,1.6,,1.1,E,1,,,,,,0,,11.6,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.4.21,1996-04-21 00:00:00,AB,1996,4,21,4.7,,1.1,,8.3,,1.2,,1.2,,0,,1,,,,,,0,,13.3,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.4.22,1996-04-22 00:00:00,AB,1996,4,22,6.7,,-0.6,,13.9,,0,,0,,0,,1,,,,,,0,,11.3,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.4.23,1996-04-23 00:00:00,AB,1996,4,23,9.1,,1.7,,16.4,,0,,0,,0,,0,,,,,,0,,8.9,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.4.24,1996-04-24 00:00:00,AB,1996,4,24,7.6,,3.3,,11.8,,12.8,,12.8,,0,,0,,,,,,0,,10.4,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.4.25,1996-04-25 00:00:00,AB,1996,4,25,3.4,,0.9,,5.8,,0.4,,0.4,,0,T,0,,,,,,0,,14.6,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.4.26,1996-04-26 00:00:00,AB,1996,4,26,7.9,,2.4,,13.3,,0,,0,,0,,0,,,,,,0,,10.1,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.4.27,1996-04-27 00:00:00,AB,1996,4,27,7.8,,3,,12.6,,1.8,,1.8,,0,T,0,,,,,,0,,10.2,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.4.28,1996-04-28 00:00:00,AB,1996,4,28,8.1,,2.5,,13.7,,0.2,,0.2,,0,,0,,,,,,0,,9.9,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.4.29,1996-04-29 00:00:00,AB,1996,4,29,9.7,,5,,14.4,,0,,0,,0,,0,,,,,,0,,8.3,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.4.30,1996-04-30 00:00:00,AB,1996,4,30,8.6,,3.9,,13.2,,0,,0,,0,,0,,,,,,0,,9.4,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.5.1,1996-05-01 00:00:00,AB,1996,5,1,7.9,,2.7,,13,,0.6,,0.6,,0,,0,,,,,,0,,10.1,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.5.2,1996-05-02 00:00:00,AB,1996,5,2,5.3,,0.5,,10.1,,1.8,,1.8,,0,,0,,,,,,0,,12.7,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.5.3,1996-05-03 00:00:00,AB,1996,5,3,5.5,,0.9,,10.1,,4.8,,4.8,,0,,0,,,,,,0,,12.5,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.5.4,1996-05-04 00:00:00,AB,1996,5,4,6.8,,1.1,,12.4,,0.4,,0.4,,0,,0,,,,,,0,,11.2,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.5.5,1996-05-05 00:00:00,AB,1996,5,5,3.8,,-0.4,,8,,0,,0,,0,,0,,,,,,0,,14.2,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.5.6,1996-05-06 00:00:00,AB,1996,5,6,-0.9,,-3.2,,1.4,,6.5,,0.6,,5.9,,2,,,,,,0,,18.9,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.5.7,1996-05-07 00:00:00,AB,1996,5,7,-1.2,,-3.8,,1.4,,0,,0,,0,,1,,,,,,0,,19.2,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.5.8,1996-05-08 00:00:00,AB,1996,5,8,-1,,-5.5,,3.6,,0,,0,,0,,1,,,,,,0,,19,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.5.9,1996-05-09 00:00:00,AB,1996,5,9,-0.1,,-5.1,,4.9,,0,,0,,0,,0,,,,,,0,,18.1,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.5.10,1996-05-10 00:00:00,AB,1996,5,10,4,,0.8,,7.2,,0,,0,,0,,0,,,,,,0,,14,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.5.11,1996-05-11 00:00:00,AB,1996,5,11,5.6,,1.2,,10,,2,,2,,0,,0,,,,,,0,,12.4,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.5.12,1996-05-12 00:00:00,AB,1996,5,12,7.9,,1,,14.7,,0,,0,,0,,0,,,,,,0,,10.1,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.5.13,1996-05-13 00:00:00,AB,1996,5,13,11.8,,6.6,,16.9,,0,,0,,0,,0,,,,,,0,,6.2,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.5.14,1996-05-14 00:00:00,AB,1996,5,14,4.8,,2.4,,7.1,,2.2,,2.2,,0,,0,,,,,,0,,13.2,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.5.15,1996-05-15 00:00:00,AB,1996,5,15,5,,3.6,,6.3,,0,,0,,0,,0,,,,,,0,,13,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.5.16,1996-05-16 00:00:00,AB,1996,5,16,9.3,,4.5,,14.1,,0,,0,,0,,0,,,,,,0,,8.7,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.5.17,1996-05-17 00:00:00,AB,1996,5,17,11.3,,4.3,,18.3,,0,,0,,0,,0,,,,,,0,,6.7,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.5.18,1996-05-18 00:00:00,AB,1996,5,18,10.9,,7.3,,14.4,,0.6,,0.6,,0,,0,,,,,,0,,7.1,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.5.19,1996-05-19 00:00:00,AB,1996,5,19,10.8,,5.2,,16.4,,0,,0,,0,,0,,,,,,0,,7.2,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.5.20,1996-05-20 00:00:00,AB,1996,5,20,10.6,,4.6,,16.6,,0,,0,,0,,0,,,,,,0,,7.4,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.5.21,1996-05-21 00:00:00,AB,1996,5,21,8.8,,4,,13.6,,0,,0,,0,,0,,,,,,0,,9.2,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.5.22,1996-05-22 00:00:00,AB,1996,5,22,9,,3.8,,14.2,,0,,0,,0,,0,,,,,,0,,9,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.5.23,1996-05-23 00:00:00,AB,1996,5,23,7.8,,2,,13.6,,0,,0,,0,,0,,,,,,0,,10.2,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.5.24,1996-05-24 00:00:00,AB,1996,5,24,11.9,,5.3,,18.4,,0,,0,,0,,0,,,,,,0,,6.1,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.5.25,1996-05-25 00:00:00,AB,1996,5,25,15.6,,8.9,,22.3,,0,,0,,0,,0,,,,,,0,,2.4,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.5.26,1996-05-26 00:00:00,AB,1996,5,26,14.3,,10.3,,18.2,,0,,0,,0,,0,,,,,,0,,3.7,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.5.27,1996-05-27 00:00:00,AB,1996,5,27,12.6,,6.6,,18.6,,0,,0,,0,,0,,,,,,0,,5.4,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.5.28,1996-05-28 00:00:00,AB,1996,5,28,14.2,,9.8,,18.6,,0.2,,0.2,,0,,0,,,,,,0,,3.8,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.5.29,1996-05-29 00:00:00,AB,1996,5,29,13.8,,10.5,,17.1,,1.4,,1.4,,0,,0,,,,,,0,,4.2,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.5.30,1996-05-30 00:00:00,AB,1996,5,30,10.8,,8.5,,13,,19.2,,19.2,,0,,0,,,,,,0,,7.2,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.5.31,1996-05-31 00:00:00,AB,1996,5,31,10.4,,5.7,,15.1,,7.8,,7.8,,0,,0,,,,,,0,,7.6,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.6.1,1996-06-01 00:00:00,AB,1996,6,1,13.4,,8.2,,18.5,,0,,0,,0,,0,,,,,,0,,4.6,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.6.2,1996-06-02 00:00:00,AB,1996,6,2,15.3,,7.6,,23,,0,,0,,0,,0,,,,,,0,,2.7,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.6.3,1996-06-03 00:00:00,AB,1996,6,3,17.2,,10.7,,23.6,,0,,0,,0,,0,,,,,,0,,0.8,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.6.4,1996-06-04 00:00:00,AB,1996,6,4,15.3,,11.2,,19.4,,11,,11,,0,,0,,,,,,0,,2.7,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.6.5,1996-06-05 00:00:00,AB,1996,6,5,11.5,,9.7,,13.2,,12.2,,12.2,,0,,0,,,,,,0,,6.5,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.6.6,1996-06-06 00:00:00,AB,1996,6,6,14.5,,6.1,,22.8,,0.2,,0.2,,0,,0,,,,,,0,,3.5,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.6.7,1996-06-07 00:00:00,AB,1996,6,7,18.1,,9,,27.1,,0,,0,,0,,0,,,,,,0.1,,0,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.6.8,1996-06-08 00:00:00,AB,1996,6,8,17.2,,11.5,,22.9,,2.8,,2.8,,0,,0,,,,,,0,,0.8,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.6.9,1996-06-09 00:00:00,AB,1996,6,9,15.4,,10.3,,20.5,,0,,0,,0,,0,,,,,,0,,2.6,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.6.10,1996-06-10 00:00:00,AB,1996,6,10,16.6,,11.3,,21.8,,0.8,,0.8,,0,,0,,,,,,0,,1.4,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.6.11,1996-06-11 00:00:00,AB,1996,6,11,14.3,,10.5,,18.1,,0,,0,,0,,0,,,,,,0,,3.7,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.6.12,1996-06-12 00:00:00,AB,1996,6,12,13.4,,6.4,,20.4,,0,,0,,0,,0,,,,,,0,,4.6,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.6.13,1996-06-13 00:00:00,AB,1996,6,13,18.6,,12.4,,24.7,,0.4,,0.4,,0,,0,,,,,,0.6,,0,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.6.14,1996-06-14 00:00:00,AB,1996,6,14,15.4,,10.4,,20.4,,0,,0,,0,,0,,,,,,0,,2.6,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.6.15,1996-06-15 00:00:00,AB,1996,6,15,17.7,,11.9,,23.5,,1,,1,,0,,0,,,,,,0,,0.3,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.6.16,1996-06-16 00:00:00,AB,1996,6,16,16.3,,11.9,,20.6,,0,,0,,0,,0,,,,,,0,,1.7,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.6.17,1996-06-17 00:00:00,AB,1996,6,17,11.8,,9.4,,14.1,,2.4,,2.4,,0,,0,,,,,,0,,6.2,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.6.18,1996-06-18 00:00:00,AB,1996,6,18,7.4,,5.4,,9.4,,34.8,,34.8,,0,,0,,,,,,0,,10.6,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.6.19,1996-06-19 00:00:00,AB,1996,6,19,8.2,,6.4,,9.9,,22.4,,22.4,,0,,0,,,,,,0,,9.8,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.6.20,1996-06-20 00:00:00,AB,1996,6,20,10,,6.6,,13.4,,0.2,,0.2,,0,,0,,,,,,0,,8,,,,,
-113.51666944444445,53.57305777777778,EDMONTON BLATCHFORD,3012209,3012209.1996.6.21,1996-06-21 00:00:00,AB,1996,6,21,8.6,,5.5,,11.7,,0,,0,,0,,0,,,,,,0,,9.4,,,,,
